EN300-256216_i001_EN300-222254_i002_14_7_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m3756_7.mol2
EN300-256216_i001_EN300-306118_i001_14_10_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_10.mol2
EN300-256216_i001_EN300-306118_i001_14_13_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_13.mol2
EN300-256216_i001_EN300-306118_i001_14_2_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_2.mol2
EN300-256216_i001_EN300-306118_i001_14_4_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_4.mol2
EN300-256216_i001_EN300-306118_i001_14_6_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_6.mol2
EN300-256216_i001_EN300-306118_i001_14_7_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6465_7.mol2
EN300-256216_i001_EN300-223795_i001_14_13_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6724_13.mol2
EN300-256216_i001_EN300-344045_i001_14_2_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6937_2.mol2
EN300-256216_i001_EN300-344045_i001_14_3_1	gold_soln_amine_3_m1236_14.mol2	gold_soln_acide_2_m6937_3.mol2
EN300-256216_i001_EN300-222254_i002_15_16_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m3756_16.mol2
EN300-256216_i001_EN300-222254_i002_15_2_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m3756_2.mol2
EN300-256216_i001_EN300-307464_i001_15_13_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m6586_13.mol2
EN300-256216_i001_EN300-307464_i001_15_18_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m6586_18.mol2
EN300-256216_i001_EN300-307464_i001_15_20_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m6586_20.mol2
EN300-256216_i001_EN300-307464_i001_15_4_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_2_m6586_4.mol2
EN300-256216_i001_EN300-206926_i001_15_10_1	gold_soln_amine_3_m1236_15.mol2	gold_soln_acide_3_m420_10.mol2
EN300-256216_i001_EN300-1231025_i001_16_10_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_1_m268_10.mol2
EN300-256216_i001_EN300-1231025_i001_16_14_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_1_m268_14.mol2
EN300-256216_i001_EN300-1231025_i001_16_7_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_1_m268_7.mol2
EN300-256216_i001_EN300-1231025_i001_16_8_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_1_m268_8.mol2
EN300-256216_i001_EN300-206926_i001_16_10_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_3_m420_10.mol2
EN300-256216_i001_EN300-206926_i001_16_4_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_3_m420_4.mol2
EN300-256216_i001_EN300-206926_i001_16_5_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_3_m420_5.mol2
EN300-256216_i001_EN300-206926_i001_16_9_1	gold_soln_amine_3_m1236_16.mol2	gold_soln_acide_3_m420_9.mol2
EN300-256216_i001_EN300-1087079_i001_17_4_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_1_m10295_4.mol2
EN300-256216_i001_EN300-4287209_i001_17_3_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_1_m195_3.mol2
EN300-256216_i001_EN300-19857_i001_17_19_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_1_m2793_19.mol2
EN300-256216_i001_EN300-19857_i001_17_20_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_1_m2793_20.mol2
EN300-256216_i001_EN300-306118_i001_17_2_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_2_m6465_2.mol2
EN300-256216_i001_EN300-306118_i001_17_7_1	gold_soln_amine_3_m1236_17.mol2	gold_soln_acide_2_m6465_7.mol2
EN300-256216_i001_EN300-107901_i001_18_14_1	gold_soln_amine_3_m1236_18.mol2	gold_soln_acide_2_m6590_14.mol2
EN300-256216_i001_EN300-1198129_i001_19_2_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m127_2.mol2
EN300-256216_i001_EN300-1198129_i001_19_9_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m127_9.mol2
EN300-256216_i001_EN300-4287209_i001_19_6_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m195_6.mol2
EN300-256216_i001_EN300-19857_i001_19_15_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m2793_15.mol2
EN300-256216_i001_EN300-19857_i001_19_19_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m2793_19.mol2
EN300-256216_i001_EN300-97777_i001_19_8_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m382_8.mol2
EN300-256216_i001_EN300-1071101_i001_19_8_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_1_m8527_8.mol2
EN300-256216_i001_EN300-315786_i001_19_20_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_2_m6664_20.mol2
EN300-256216_i001_EN300-194291_i002_19_16_1	gold_soln_amine_3_m1236_19.mol2	gold_soln_acide_2_m6787_16.mol2
EN300-256216_i001_EN300-1231025_i001_2_17_1	gold_soln_amine_3_m1236_2.mol2	gold_soln_acide_1_m268_17.mol2
EN300-256216_i001_EN300-1231025_i001_2_3_1	gold_soln_amine_3_m1236_2.mol2	gold_soln_acide_1_m268_3.mol2
EN300-256216_i001_EN300-1231025_i001_2_7_1	gold_soln_amine_3_m1236_2.mol2	gold_soln_acide_1_m268_7.mol2
